"Назва","Чистий процентний дохід/(Чисті процентні витрати)","Усього власного капіталу","Кошти клієнтів","Кредити та заборгованість клієнтів","Загальні активи, усього"
"АТ АКБ ""Львів""","52,742","237,665","1,792,956","973,035","2,734,282"
"АБ ""КЛІРИНГОВИЙ ДІМ""","62,428","540,099","1,391,196","441,738","2,633,967"
"АТ ""Полтава-банк""","77,701","728,284","1,531,030","1,012,993","2,440,211"
"ПуАТ ""КБ ""АКОРДБАНК""","61,017","252,351","1,935,102","807,667","2,363,281"
"АТ АКБ ""АРКАДА""","19,135","965,607","829,738","775,495","2,257,516"
"АТ ""Місто Банк""","-13,739","217,247","1,035,768","254,658","2,217,864"
"АТ ""ПЕРШИЙ ІНВЕСТИЦІЙНИЙ БАНК""","57,076","297,299","1,471,762","358,404","1,949,895"
"АТ ""АБ ""РАДАБАНК""","68,537","285,025","1,227,268","823,917","1,777,495"
"АТ ""КРИСТАЛБАНК""","67,476","278,332","1,350,527","366,251","1,752,295"
"АТ ""БАНК ""ГРАНТ""","65,656","541,641","881,016","678,065","1,497,622"
"АТ ""КОМІНВЕСТБАНК""","16,320","305,484","944,784","255,542","1,426,501"
"АТ ""АКБ ""КОНКОРД""","39,807","232,000","924,330","488,740","1,319,394"
"АТ ""МОТОР-БАНК""","41,158","322,749","838,988","338,340","1,211,269"
"АТ ""КІБ""","43,385","232,672","876,752","650,208","1,160,539"
"АТ ""РВС БАНК""","9,481","316,732","672,336","138,536","1,085,884"
"АТ ""БАНК АВАНГАРД""","44,513","328,549","641,965","110,559","1,038,319"
"АТ ""БАНК 3/4""","45,507","496,988","171,424","296,966","1,038,036"
"ПАТ ""БАНК ""УКРАЇНСЬКИЙ КАПІТАЛ""","16,829","253,005","697,716","215,378","1,023,765"
"АТ ""АП БАНК""","49,718","329,525","392,558","527,422","990,601"
"АТ ""МетаБанк""","27,961","289,938","626,105","484,219","962,423"
"АТ ""АСВІО БАНК""","44,447","450,014","421,292","353,196","962,404"
"АТ ""БАНК СІЧ""","14,223","212,145","703,359","249,612","950,213"
"АТ ""ЮНЕКС БАНК""","57,812","263,987","456,421","271,081","910,947"
"АТ ""УКРБУДІНВЕСТБАНК""","27,760","222,227","589,989","311,626","899,613"
"АТ ""АЙБОКС БАНК""","31,872","230,570","431,327","369,594","820,014"
"Полікомбанк","19,080","260,925","418,302","317,100","760,007"
"АТ ""КБ ""ЗЕМЕЛЬНИЙ КАПІТАЛ""","30,196","251,547","402,656","459,327","672,736"
"АТ ""ЄПБ""","31,939","232,071","313,260","332,790","668,900"
"АТ ""АЛЬТБАНК""","25,234","236,705","377,386","140,325","637,547"
"АТ ""СКАЙ БАНК""","3,896","170,613","262,381","160,099","547,180"
"АТ ""ОКСІ БАНК""","10,172","206,414","243,373","97,559","500,442"
"ПрАТ ""БАНК ФАМІЛЬНИЙ""","14,928","197,316","49,193","1,102","395,515"
"АТ ""БАНК ""ПОРТАЛ""","25,616","214,420","39,313","175,155","321,964"
"АТ ""БАНК ТРАСТ-КАПІТАЛ""","9,326","240,475","34,976","75,837","303,906"
"АТ ""АЛЬПАРІ БАНК""","18,289","216,553","31,978","44,029","295,405"
"АТ ""Український банк реконструкції та розвитку""","12,271","198,494","9,901","0","245,021"
"Банки з державною часткою","","","","",""
"АТ КБ ""ПРИВАТБАНК""","14,681,271","47,195,458","218,962,476","56,017,735","525,745,981"
"АТ ""Ощадбанк""","4,185,238","18,749,806","161,350,721","39,696,172","274,609,381"
"АТ ""Укрексімбанк""","1,730,092","9,977,015","77,639,379","19,987,719","205,438,769"
"АБ ""УКРГАЗБАНК""","2,314,326","6,418,742","90,556,617","24,367,955","114,133,205"
"ПАТ ""РОЗРАХУНКОВИЙ ЦЕНТР""","30,893","262,730","55,234","0","330,170"
"Усього по банках з державною часткою","22,941,819","82,603,751","548,564,427","140,069,581","1,120,257,505"
"Банки іноземних банківських груп","","","","0",""
"АТ ""Райффайзен Банк Аваль""","5,314,579","11,674,412","61,878,160","34,575,987","82,180,049"
"АТ ""АЛЬФА-БАНК""","2,998,232","6,531,158","55,972,480","19,526,493","71,645,925"
