"Назва","Чистий процентний дохід/(Чисті процентні витрати)","Усього власного капіталу","Кошти клієнтів","Кредити та заборгованість клієнтів","Загальні активи, усього"
"ПАТ ""БАНК ВОСТОК""","943,049","1,318,399","17,396,859","5,570,459","19,859,927"
"АТ ""А - БАНК""","2,458,825","2,198,569","11,533,922","8,601,729","15,951,075"
"ПуАТ ""КБ ""АКОРДБАНК""","550,681","387,514","9,228,786","1,096,313","15,807,911"
"ПАТ ""МТБ БАНК""","554,749","984,224","9,332,449","2,538,189","12,596,070"
"АТ ""БАНК АЛЬЯНС""","164,962","913,102","7,697,311","2,450,524","12,004,835"
"АТ ""МЕГАБАНК"" *","260,525","1,250,031","7,755,092","4,137,399","10,793,667"
"АТ ""КБ ""ГЛОБУС""","456,836","629,280","7,272,872","2,564,278","9,109,869"
"АТ ""КІБ""","298,641","440,941","4,698,554","1,616,462","8,997,795"
"АТ ""БАНК СІЧ""","195,391","218,409","3,858,707","1,070,640","6,836,708"
"АТ АКБ ""Львів""","322,629","626,130","3,589,951","3,667,020","6,638,748"
"АТ ""МІБ""","37,991","437,903","3,792,784","843,203","6,408,047"
"АКБ ""ІНДУСТРІАЛБАНК""","276,106","1,270,872","2,473,269","1,111,244","6,041,399"
"АТ ""АБ ""РАДАБАНК""","227,313","431,694","3,586,813","1,545,487","5,441,941"
"АТ ""РВС БАНК""","125,681","241,946","2,242,157","143,512","4,834,170"
"АТ ""КРИСТАЛБАНК""","217,052","380,501","3,159,613","409,023","4,824,737"
"АБ ""КЛІРИНГОВИЙ ДІМ""","200,112","740,518","3,020,201","980,240","4,370,325"
"АТ ""БАНК ІНВЕСТИЦІЙ ТА ЗАОЩАДЖЕНЬ""","227,919","649,451","3,151,047","831,268","4,340,723"
"АТ ""АКБ ""КОНКОРД""","187,611","478,443","2,322,476","401,425","4,209,745"
"АТ ""АЙБОКС БАНК""","162,860","814,996","2,708,487","77,841","3,925,570"
"АТ ""Полтава-банк""","178,098","868,158","2,388,231","1,027,882","3,495,002"
"АТ ""ПЕРШИЙ ІНВЕСТИЦІЙНИЙ БАНК""","123,734","402,102","2,754,676","224,134","3,264,289"
"АТ ""УКРБУДІНВЕСТБАНК""","94,007","242,011","1,826,497","677,806","2,923,208"
"АТ ""СКАЙ БАНК""","58,537","207,683","1,090,150","239,253","2,610,584"
"АТ ""МОТОР-БАНК""","67,919","310,827","1,784,125","509,327","2,569,464"
"АТ ""БАНК ""ГРАНТ""","139,482","603,477","1,767,484","779,693","2,437,937"
"АТ ""БАНК АВАНГАРД""","74,713","239,748","820,386","58,429","2,395,562"
"АТ ""АП БАНК""","115,485","350,549","1,185,368","1,111,280","2,244,033"
"АТ ""ЮНЕКС БАНК""","85,668","192,728","1,330,521","184,882","1,968,886"
"АТ ""БАНК ""УКРАЇНСЬКИЙ КАПІТАЛ""","67,247","250,873","990,432","422,920","1,752,175"
"АТ ""АСВІО БАНК""","92,027","478,900","1,121,842","537,845","1,718,346"
"АТ ""БАНК 3/4"" *","118,740","523,736","504,965","116,737","1,645,862"
"АТ ""МетаБанк""","75,631","398,251","710,921","407,568","1,569,762"
"АТ ""АЛЬТБАНК""","60,448","256,914","1,164,335","168,209","1,485,007"
"АТ ""КОМІНВЕСТБАНК"" *","14,672","329,857","978,742","254,342","1,390,645"
"АТ ""ЄПБ""","68,591","312,957","551,516","239,680","1,008,203"
"АТ ""ОКСІ БАНК""","78,807","227,159","573,550","116,868","868,806"
"Полікомбанк","38,021","286,297","527,985","398,888","862,118"
"АТ ""Український банк реконструкції та розвитку""","13,556","230,855","41,473","1,506","730,937"
"ПрАТ ""БАНК ФАМІЛЬНИЙ""","20,950","215,338","88,328","10,233","461,869"
"АТ ""БАНК ТРАСТ-КАПІТАЛ""","25,577","245,192","182,189","67,900","437,301"
"АТ ""БАНК ""ПОРТАЛ""","35,891","220,107","37,176","160,606","335,097"
"АТ ""АЛЬПАРІ БАНК""","20,033","203,036","8,079","17,904","228,057"
